,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,90,7,Cruz Azul,15,62,37,46,64,199
1,75,6,Veracruz,15,30,26,43,78,234
2,84,9,Leones Negros,16,22,32,43,58,208
3,74,7,Club Tijuana,19,27,12,55,74,261
4,74,8,América,20,27,17,49,87,230
5,75,8,Pachuca,20,36,18,49,93,274
6,89,2,Toluca,20,21,20,67,96,289
7,84,5,Chivas,20,26,38,41,68,182
8,111,5,Pumas,21,27,31,75,87,301
9,58,7,Puebla,21,19,19,32,73,190
10,62,2,Tigres,22,27,18,42,89,255
11,54,2,Atlas,22,16,7,45,70,218
12,71,6,Chiapas FC,22,27,22,43,76,237
13,61,0,Club Querétaro,22,15,13,48,61,235
14,95,8,Monterrey,24,20,25,62,95,299
15,100,4,Santos,24,15,30,66,77,247
16,67,0,León,27,22,22,45,92,244
17,47,4,Morelia,34,11,11,32,104,243
