,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,142,14,Cruz Azul,14,161,87,41,65,193
1,218,23,Tigres,17,160,159,36,65,187
2,225,24,Toluca,18,149,146,55,102,259
3,211,26,Leones Negros,19,175,143,42,65,206
4,273,26,Chivas,20,221,191,56,83,243
5,170,19,Puebla,20,138,103,48,88,231
6,201,24,Veracruz,22,185,125,52,95,242
7,276,17,América,25,246,209,50,72,212
8,175,21,Atlas,25,125,112,42,70,230
9,302,43,Santos,25,257,197,62,96,269
10,205,17,Morelia,25,148,128,60,98,251
11,130,23,Monterrey,27,147,73,34,84,218
12,213,16,Pumas,27,182,167,30,88,241
13,375,45,Pachuca,28,254,256,74,98,315
14,250,30,Club Tijuana,30,165,139,81,100,318
15,315,37,Chiapas FC,30,283,230,48,100,248
16,222,20,León,32,194,156,46,100,251
17,263,31,Club Querétaro,33,192,176,56,112,292
