,away_team,date,home_team,result,round,season,season_round,time,venue,match_datetime,home_score,away_score
0,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-01-05 19:00:00,,
1,León,"vie 5 de enero, 2018",Atlas,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-01-05 21:00:00,,
2,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-1,clausura-2018,regular,17:00  Hrs.,Azul,2018-01-06 17:00:00,,
3,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-01-06 19:00:00,,
4,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-1,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-01-06 19:06:00,,
5,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Victoria,2018-01-06 21:00:00,,
6,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-1,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-01-07 12:00:00,,
7,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-01-07 18:00:00,,
8,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,La Corregidora,2018-01-07 18:00:00,,
9,Puebla,"vie 12 de enero, 2018",Morelia,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Morelos,2018-01-12 19:00:00,,
10,Necaxa,"vie 12 de enero, 2018",Club Tijuana,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Caliente,2018-01-12 21:00:00,,
11,Club Querétaro,"sáb 13 de enero, 2018",Lobos BUAP,VS,jornada-2,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-01-13 17:00:00,,
12,Santos,"sáb 13 de enero, 2018",Tigres,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Universitario,2018-01-13 19:00:00,,
13,Toluca,"sáb 13 de enero, 2018",León,VS,jornada-2,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-01-13 19:06:00,,
14,Pachuca,"sáb 13 de enero, 2018",América,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Azteca,2018-01-13 21:00:00,,
