,away_team,date,home_team,result,round,season,season_round,time,venue
0,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
1,León,"vie 5 de enero, 2018",Atlas,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Jalisco
2,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-1,clausura-2018,regular,17:00  Hrs.,Azul
3,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
4,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-1,clausura-2018,regular,19:06  Hrs.,Hidalgo
5,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Victoria
6,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-1,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
7,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
8,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,La Corregidora
9,Puebla,"vie 12 de enero, 2018",Morelia,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Morelos
10,Necaxa,"vie 12 de enero, 2018",Club Tijuana,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Caliente
11,Club Querétaro,"sáb 13 de enero, 2018",Lobos BUAP,VS,jornada-2,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
12,Santos,"sáb 13 de enero, 2018",Tigres,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Universitario
13,Toluca,"sáb 13 de enero, 2018",León,VS,jornada-2,clausura-2018,regular,19:06  Hrs.,Estadio León
14,Pachuca,"sáb 13 de enero, 2018",América,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Azteca
15,Cruz Azul,"sáb 13 de enero, 2018",Chivas,VS,jornada-2,clausura-2018,regular,21:06  Hrs.,Chivas
16,Atlas,"dom 14 de enero, 2018",Pumas,VS,jornada-2,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
17,Monterrey,"dom 14 de enero, 2018",Veracruz,VS,jornada-2,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
18,Veracruz,"vie 19 de enero, 2018",Puebla,VS,jornada-3,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
19,Toluca,"vie 19 de enero, 2018",Atlas,VS,jornada-3,clausura-2018,regular,21:00  Hrs.,Jalisco
20,Tigres,"sáb 20 de enero, 2018",Club Querétaro,VS,jornada-3,clausura-2018,regular,17:00  Hrs.,La Corregidora
21,León,"sáb 20 de enero, 2018",Cruz Azul,VS,jornada-3,clausura-2018,regular,17:00  Hrs.,Azul
