,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,57,46,4.6,1173,660,55.2%,116,210
1,América,35,38,7.2,1114,642,48.5%,132,272
2,Toluca,50,36,6.6,1095,542,45.4%,108,238
3,Tigres,57,35,7.2,1359,594,47.4%,120,253
4,León,33,35,6.1,1027,546,48.6%,104,214
5,Monterrey,30,32,6.9,882,482,42.8%,95,222
6,Chiapas FC,41,32,5.3,838,410,47.6%,80,168
7,Pachuca,33,30,6.8,987,548,40.9%,83,203
8,Morelia,34,26,6.0,956,426,49.0%,76,155
9,Club Querétaro,39,25,7.4,912,534,45.1%,83,184
10,Puebla,41,24,8.5,1151,545,49.0%,100,204
11,Veracruz,35,24,7.8,919,592,47.1%,88,187
12,Chivas,26,23,7.2,902,491,41.8%,69,165
13,Santos,36,21,8.4,1028,584,41.8%,74,177
14,Club Tijuana,49,21,8.6,902,471,39.2%,71,181
15,Cruz Azul,36,19,8.9,931,494,49.7%,84,169
16,Atlas,36,17,9.3,845,430,44.9%,71,158
17,Dorados,44,13,12.0,994,502,42.9%,67,156
