tournament,team,pts,jj,dg,jg,je,jp,gf,gc
clausura-2018,América,0,0,0,0,0,0,0,0
clausura-2018,Atlas,0,0,0,0,0,0,0,0
clausura-2018,Chivas,0,0,0,0,0,0,0,0
clausura-2018,Club Querétaro,0,0,0,0,0,0,0,0
clausura-2018,Club Tijuana,0,0,0,0,0,0,0,0
clausura-2018,Cruz Azul,0,0,0,0,0,0,0,0
clausura-2018,León,0,0,0,0,0,0,0,0
clausura-2018,Lobos BUAP,0,0,0,0,0,0,0,0
clausura-2018,Monterrey,0,0,0,0,0,0,0,0
clausura-2018,Morelia,0,0,0,0,0,0,0,0
clausura-2018,Necaxa,0,0,0,0,0,0,0,0
clausura-2018,Pachuca,0,0,0,0,0,0,0,0
clausura-2018,Puebla,0,0,0,0,0,0,0,0
clausura-2018,Pumas,0,0,0,0,0,0,0,0
clausura-2018,Santos,0,0,0,0,0,0,0,0
clausura-2018,Tigres,0,0,0,0,0,0,0,0
clausura-2018,Toluca,0,0,0,0,0,0,0,0
clausura-2018,Veracruz,0,0,0,0,0,0,0,0
apertura-2017,Monterrey,37,17,17,11,4,2,29,12
apertura-2017,Tigres,32,17,12,9,5,3,28,16
apertura-2017,América,30,17,5,9,3,5,23,18
apertura-2017,Morelia,29,17,8,8,5,4,25,17
apertura-2017,Toluca,29,17,3,8,5,4,24,21
apertura-2017,Cruz Azul,27,17,0,7,6,4,22,22
apertura-2017,León,26,17,4,8,2,7,27,23
apertura-2017,Atlas,25,17,4,7,4,6,23,19
apertura-2017,Necaxa,24,17,4,6,6,5,19,15
apertura-2017,Lobos BUAP,23,17,-5,7,2,8,26,31
apertura-2017,Club Tijuana,21,17,-6,6,3,8,17,23
apertura-2017,Pachuca,19,17,-2,5,4,8,23,25
apertura-2017,Chivas,18,17,-2,4,6,7,21,23
apertura-2017,Santos,18,17,-3,3,9,5,20,23
apertura-2017,Puebla,16,17,-6,3,7,7,14,20
apertura-2017,Club Querétaro,16,17,-8,3,7,7,19,27
apertura-2017,Veracruz,14,17,-14,4,2,11,14,28
apertura-2017,Pumas,13,17,-11,3,4,10,14,25
clausura-2017,Club Tijuana,31,17,8,9,4,4,30,22
clausura-2017,Monterrey,27,17,8,7,6,4,26,18
clausura-2017,Chivas,27,17,3,7,6,4,21,18
clausura-2017,Toluca,27,17,1,8,3,6,21,20
clausura-2017,Santos,26,17,5,5,11,1,25,20
clausura-2017,Atlas,26,17,4,7,5,5,24,20
clausura-2017,Tigres,25,17,14,7,4,6,26,12
clausura-2017,Morelia,24,17,3,6,6,5,19,16
clausura-2017,América,24,17,0,7,3,7,19,19
clausura-2017,Pachuca,24,17,0,6,6,5,16,16
clausura-2017,Cruz Azul,21,17,-1,5,6,6,19,20
clausura-2017,Necaxa,21,17,-5,5,6,6,16,21
clausura-2017,Veracruz,21,17,-6,7,0,10,14,20
clausura-2017,León,20,17,-2,5,5,7,21,23
clausura-2017,Club Querétaro,19,17,-6,5,4,8,21,27
clausura-2017,Chiapas FC,19,17,-10,5,4,8,18,28
clausura-2017,Pumas,18,17,-9,5,3,9,21,30
clausura-2017,Puebla,16,17,-7,4,4,9,18,25
apertura-2016,Club Tijuana,33,17,12,10,3,4,25,13
apertura-2016,Pachuca,31,17,15,9,4,4,36,21
apertura-2016,Tigres,30,17,9,8,6,3,22,13
apertura-2016,Chivas,28,17,4,8,4,5,21,17
apertura-2016,América,28,17,3,7,7,3,29,26
apertura-2016,Pumas,27,17,6,8,3,6,28,22
apertura-2016,Necaxa,26,17,6,6,8,3,24,18
apertura-2016,León,26,17,0,7,5,5,25,25
apertura-2016,Monterrey,25,17,9,6,7,4,30,21
apertura-2016,Toluca,24,17,1,6,6,5,22,21
