,academic_session,available_to_erasmus_students,available_to_visiting_students,code,credits,level,remark,school,taught_wholly_by_distance_learning,title,typically_offered,subject
0,2017-18,False,False,ACCFIN1003,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Finance 1,Semester 2,ACCFIN
1,2017-18,False,False,ACCFIN1004,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Financial Accounting 1,Semester 1,ACCFIN
2,2017-18,True,True,ACCFIN1018,10,Level 1 (SCQF level 7),,Adam Smith Business School,,Foundations of Finance,Semester 2,ACCFIN
3,2017-18,True,True,ACCFIN1001,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Introduction to Business Reporting & Financial Accounting,Semester 2,ACCFIN
4,2017-18,True,True,ACCFIN1016,20,Level 1 (SCQF level 7),,Adam Smith Business School,,"Introduction to Finance, Investments and Institutions",Semester 1,ACCFIN
5,2017-18,True,True,ACCFIN1006,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Introduction to Management Accounting and Control,Semester 1,ACCFIN
6,2017-18,False,False,ACCFIN1007,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Management Accounting 1: A Business Decision Emphasis,Semester 1,ACCFIN
7,2017-18,True,True,ACCFIN1017,20,Level 1 (SCQF level 7),,Adam Smith Business School,,The Accountancy Profession,Semester 2,ACCFIN
8,2017-18,True,True,ACCFIN2021,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Accountancy Matters,Semester 2,ACCFIN
9,2017-18,True,True,ACCFIN2002,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Finance 2,Semester 2,ACCFIN
10,2017-18,True,True,ACCFIN2003,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Financial Accounting 2,Semester 1,ACCFIN
11,2017-18,True,True,ACCFIN2005,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Management Accounting 2: Organisational Performance,Semester 2,ACCFIN
12,2017-18,True,True,ACCFIN2018,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Statistical Analysis and Methods,Semester 1,ACCFIN
13,2017-18,True,True,ACCFIN4031,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Accountability and Human Rights,Semester 2,ACCFIN
14,2017-18,False,False,ACCFIN4001P,40,Level 4 (SCQF level 10),,Adam Smith Business School,,Accountancy Dissertation,Runs Throughout Semesters 1 and 2,ACCFIN
15,2017-18,True,True,ACCFIN4025,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Accounting & Business History,Semester 1,ACCFIN
16,2017-18,True,True,ACCFIN4007,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Advanced Financial Accounting,Semester 1,ACCFIN
17,2017-18,True,True,ACCFIN4008,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Advanced Theory and Practice of Taxation,Semester 1,ACCFIN
18,2017-18,True,True,ACCFIN4009,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Auditing,Semester 1,ACCFIN
19,2017-18,True,True,ACCFIN4010,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Capital Markets and Portfolio Management,Semester 1,ACCFIN
20,2017-18,True,True,ACCFIN4070,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Corporate Finance,Semester 2,ACCFIN
21,2017-18,True,True,ACCFIN4029,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Corporate Insolvency,Semester 1,ACCFIN
22,2017-18,True,True,ACCFIN4040,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Derivative Securities,Semester 1,ACCFIN
23,2017-18,True,True,ACCFIN4002,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Ethics in Accounting and Business,Semester 2,ACCFIN
24,2017-18,True,True,ACCFIN4012,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Financial Markets & Financial Institutions,Semester 2,ACCFIN
25,2017-18,True,True,ACCFIN4013,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Financial Statement Analysis and Valuation,Semester 2,ACCFIN
26,2017-18,True,True,ACCFIN4014,20,Level 4 (SCQF level 10),,Adam Smith Business School,,International Financial Accounting,Semester 2,ACCFIN
27,2017-18,True,True,ACCFIN4015,20,Level 4 (SCQF level 10),,Adam Smith Business School,,International Financial Management,Semester 1,ACCFIN
28,2017-18,True,True,ACCFIN4017,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Issues in Social and Environmental Accounting,Semester 2,ACCFIN
29,2017-18,True,True,ACCFIN4072,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Judgement and Decision-Making in Accounting and Auditing,Semester 2,ACCFIN
30,2017-18,True,True,ACCFIN4016,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Management Accounting in Organisations and Society,Semester 1,ACCFIN
31,2017-18,True,True,ACCFIN4004,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Management Control Systems,Semester 1,ACCFIN
32,2017-18,True,True,ACCFIN4064,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Mergers and Acquisitions,Semester 2,ACCFIN
33,2017-18,True,True,ACCFIN4063,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Psychology and Financial Markets,Semester 2,ACCFIN
34,2017-18,True,True,ACCFIN4053,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Public Sector Accounting,Semester 2,ACCFIN
35,2017-18,True,True,ACCFIN4051,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Strategic Management Accounting,Semester 2,ACCFIN
36,2017-18,True,True,ACCFIN4044,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Tax Theory and Practice,Semester 2,ACCFIN
37,2017-18,False,False,ACCFIN5001,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Accounting & Business Ethics,Semester 2,ACCFIN
38,2017-18,False,False,ACCFIN5002,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Advanced International Corporate Reporting,Semester 2,ACCFIN
39,2017-18,False,True,ACCFIN5055,20,Level 5 (SCQF level 11),,Adam Smith Business School,,"Audit, Risk and Control",Semester 2,ACCFIN
40,2017-18,False,False,ACCFIN5043,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Behavioural Finance,Semester 2,ACCFIN
41,2017-18,False,False,ACCFIN5206,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Climate Change Policies and Accountability Issues,Semester 2,ACCFIN
42,2017-18,False,False,ACCFIN5205,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Corporate Finance,Semester 1,ACCFIN
43,2017-18,False,False,ACCFIN5008P,60,Level 5 (SCQF level 11),,Adam Smith Business School,,Dissertation and Research Methods,Summer,ACCFIN
44,2017-18,False,False,ACCFIN5200,20,Level 5 (SCQF level 11),,Adam Smith Business School,,Financial Analysis and Equity Valuation,Semester 2,ACCFIN
