,IATA,ICAO,Airport name,Location served,Time,DST
0,AAA,NTGA,Anaa Airport,"Anaa, Tuamotus, French Polynesia",UTC−10:00,
1,AAB,YARY,Arrabury Airport,"Arrabury, Queensland, Australia",UTC+10:00,
2,AAC,HEAR,El Arish International Airport,"El Arish, Egypt",UTC+02:00,
3,AAD,,Adado Airport,"Adado (Cadaado), Galguduud, Somalia",UTC+03:00,
4,AAE,DABB,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria",UTC+01:00,
5,AAF,KAAF,Apalachicola Regional Airport,"Apalachicola, Florida, United States",UTC−05:00,Mar-Nov
6,AAG,SSYA,Arapoti Airport,"Arapoti, Paraná, Brazil",UTC−03:00,Oct-Feb
7,AAH,EDKA,Merzbrück Airport,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00,Mar-Oct
8,AAI,SWRA,Arraias Airport,"Arraias, Tocantins, Brazil",UTC−03:00,
9,AAJ,SMCA,Cayana Airstrip,"Awaradam, Suriname",UTC−03:00,
10,AAK,NGUK,Aranuka Airport,"Aranuka, Kiribati",UTC+12:00,
11,AAL,EKYT,Aalborg Airport,"Aalborg, Denmark",UTC+01:00,Mar-Oct
12,AAM,FAMD,Mala Mala Airport,"Mala Mala, South Africa",UTC+02:00,
13,AAN,OMAL,Al Ain International Airport,"Al Ain, United Arab Emirates",UTC+04:00,
14,AAO,SVAN,Anaco Airport,"Anaco, Venezuela",UTC−04:00,
15,AAQ,URKA,Anapa Airport,"Anapa, Krasnodar Krai, Russia",UTC+03:00,
16,AAR,EKAH,Aarhus Airport,"Aarhus, Denmark",UTC+01:00,Mar-Oct
17,AAS,,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00,
18,AAT,ZWAT,Altay Airport,"Altay, Xinjiang, China",UTC+06:00,
19,AAU,NSAU,Asau Airport,"Asau, Savai'i Island, Samoa",UTC+13:00,Sep-Apr
20,AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",UTC+08:00,
21,AAX,SBAX,Araxá Airport,"Araxá, Minas Gerais, Brazil",UTC−03:00,Oct-Feb
22,AAY,OYGD,Al Ghaydah Airport,"Al Ghaydah, Yemen",UTC+03:00,
23,AAZ,MGQZ,Quetzaltenango Airport,"Quetzaltenango, Guatemala",UTC−06:00,
24,ABA,UNAA,Abakan International Airport,"Abakan, Republic of Khakassia, Russia",UTC+07:00,
25,ABB,DNAS,Asaba International Airport,"Asaba, Nigeria",UTC+01:00,
26,ABC,LEAB,Albacete Airport,"Albacete, Castilla-La Mancha, Spain",UTC+01:00,Mar-Oct
27,ABD,OIAA,Abadan International Airport,"Abadan, Iran",UTC+03:30,Mar-Sep
28,ABE,KABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States",UTC−05:00,Mar-Nov
29,ABF,NGAB,Abaiang Atoll Airport,"Abaiang, Kiribati",UTC+12:00,
30,ABG,YABI,Abingdon Airport,"Abingdon, Queensland, Australia",UTC+10:00,
31,ABH,YAPH,Alpha Airport,"Alpha, Queensland, Australia",UTC+10:00,
32,ABI,KABI,Abilene Regional Airport,"Abilene, Texas, United States",UTC−06:00,Mar-Nov
33,ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire",UTC+00:00,
34,ABK,HAKD,Kabri Dar Airport,"Kebri Dahar, Ethiopia",UTC+03:00,
35,ABL,PAFM,Ambler Airport (FAA: AFM),"Ambler, Alaska, United States",UTC−09:00,Mar-Nov
36,ABM,YNPE,Northern Peninsula Airport,"Bamaga, Queensland, Australia",UTC+10:00,
37,ABN,SMBN,Albina Airstrip,"Albina, Suriname",UTC−03:00,
38,ABO,DIAO,Aboisso Airport,"Aboisso, Côte d'Ivoire",UTC+00:00,
39,ABP,,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,
40,ABQ,KABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States",UTC−07:00,Mar-Nov
41,ABR,KABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States",UTC−06:00,Mar-Nov
42,ABS,HEBL,Abu Simbel Airport,"Abu Simbel, Egypt",UTC+02:00,
43,ABT,OEBA,Al-Baha Domestic Airport,"Al-Baha, Saudi Arabia",UTC+03:00,
44,ABU,WATA,Haliwen Airport,"Atambua, Indonesia",UTC+08:00,
45,ABV,DNAA,Nnamdi Azikiwe International Airport,"Abuja, Nigeria",UTC+01:00,
46,ABW,,Abau Airport,"Abau, Papua New Guinea",UTC+10:00,
47,ABX,YMAY,Albury Airport,"Albury, New South Wales, Australia",UTC+10:00,Oct-Apr
48,ABY,KABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States",UTC−05:00,Mar-Nov
49,ABZ,EGPD,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom",UTC+00:00,Mar-Oct
50,ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",UTC−06:00,Apr-Oct
