,date,destination,note,origin,price,url
0,2018-01-14,Tokyo,,CDMX,10972.0,http://www.vuelax.com/2018/01/14/cdmx-a-tokyo-10972/
1,2018-01-13,Lima,,CDMX,5059.0,http://www.vuelax.com/2018/01/13/cdmx-a-lima-5059/
2,2018-01-13,Bélgica,,CUN,9731.0,http://www.vuelax.com/2018/01/13/cun-a-belgica-9731/
3,2018-01-12,Islandia,,Canadá,4425.0,http://www.vuelax.com/2018/01/12/canada-a-islandia-4425/
4,2018-01-12,Inglaterra,,Islandia,1156.0,http://www.vuelax.com/2018/01/12/islandia-a-inglaterra-1156/
5,2018-01-12,Lima,,CDMX,5199.0,http://www.vuelax.com/2018/01/12/cdmx-a-lima-5199/
6,2018-01-11,Chile,,CDMX,7883.0,http://www.vuelax.com/2018/01/11/cdmx-a-chile-7883/
7,2018-01-11,L.A.,,GDL y CDMX,3269.0,http://www.vuelax.com/2018/01/11/gdl-y-cdmx-a-l-a-3269/
8,2018-01-11,Orlando,,CDMX,3216.0,http://www.vuelax.com/2018/01/11/cdmx-a-orlando-3216/
9,2018-01-10,Puerto Escondido,,CDMX,1157.0,http://www.vuelax.com/2018/01/10/cdmx-a-puerto-escondido-1157/
10,2018-01-10,Lima,,CDMX,5509.0,http://www.vuelax.com/2018/01/10/cdmx-a-lima-5509/
11,2018-01-10,Bali,,CDMX y GDL,12603.0,http://www.vuelax.com/2018/01/10/cdmx-y-gdl-a-bali-12603/
12,2018-01-09,Berlín,,Toronto,6792.0,http://www.vuelax.com/2018/01/09/toronto-a-berlin-6792/
13,2018-01-09,India,,CDMX,12879.0,http://www.vuelax.com/2018/01/09/cdmx-a-india-12879/
14,2018-01-09,Miami,,CDMX,4103.0,http://www.vuelax.com/2018/01/09/cdmx-a-miami-4103-vuelos-directos/
15,2018-01-08,Ártico,,CDMX,9257.0,http://www.vuelax.com/2018/01/08/cdmx-a-artico-9257/
16,2018-01-08,NYC,,CDMX,4138.0,http://www.vuelax.com/2018/01/08/cdmx-a-nyc-4138-vuelos-directos/
17,2018-01-08,La Habana,,CUN y CDMX,3219.0,http://www.vuelax.com/2018/01/08/cun-y-cdmx-a-la-habana-3219/
18,2018-01-08,Islas Caimán,,CDMX,9119.0,http://www.vuelax.com/2018/01/08/cdmx-a-islas-caiman-9119/
19,2018-01-08,Holanda,,CUN,9513.0,http://www.vuelax.com/2018/01/08/cun-a-holanda-9513/
20,2018-01-07,Francia,,Canadá,5499.0,http://www.vuelax.com/2018/01/07/canada-a-francia-5499/
21,2018-01-06,Puerto Escondido,,CDMX,1150.0,http://www.vuelax.com/2018/01/06/cdmx-a-puerto-escondido-1150/
22,2018-01-06,Japón,,CDMX,10912.0,http://www.vuelax.com/2018/01/06/cdmx-a-japon-10912/
23,2018-01-05,Vancouver,,CDMX,5036.0,http://www.vuelax.com/2018/01/05/cdmx-a-vancouver-5036-vuelos-directos/
24,2018-01-05,Calgary,,CDMX,5513.0,http://www.vuelax.com/2018/01/05/cdmx-a-calgary-5513-vuelos-directos/
25,2018-01-05,Islandia,,Canadá,4247.0,http://www.vuelax.com/2018/01/05/canada-a-islandia-4247/
26,2018-01-05,Madrid,,CUN,10320.0,http://www.vuelax.com/2018/01/05/cun-a-madrid-10320-vuelos-directos/
27,2018-01-05,Puerto Rico,,CDMX,4728.0,http://www.vuelax.com/2018/01/05/cdmx-a-puerto-rico-4728/
28,2018-01-04,Alemania,,CUN,10168.0,http://www.vuelax.com/2018/01/04/cun-a-alemania-10168-vuelos-directos/
29,2018-01-04,Guatemala,,CDMX,3512.0,http://www.vuelax.com/2018/01/04/cdmx-a-guatemala-3512/
30,2018-01-04,Kuwait,,CDMX,10575.0,http://www.vuelax.com/2018/01/04/cdmx-a-kuwait-10575/
31,2018-01-04,Baréin,,CUN y CDMX,8989.0,http://www.vuelax.com/2018/01/04/cun-y-cdmx-a-barein-8989/
32,2018-01-03,NYC,,CUN y CDMX,4137.0,http://www.vuelax.com/2018/01/03/cun-y-cdmx-a-nyc-4137/
33,2018-01-03,Ártico,,CDMX,9812.0,http://www.vuelax.com/2018/01/03/cdmx-a-artico-9812-temporada-auroras/
34,2018-01-03,Bélgica,,CUN,9392.0,http://www.vuelax.com/2018/01/03/cun-a-belgica-9392/
35,2018-01-02,Dubái,,CUN y CDMX,11295.0,http://www.vuelax.com/2018/01/02/cun-y-cdmx-a-dubai-11295/
36,2018-01-02,Islandia,,Toronto,4495.0,http://www.vuelax.com/2018/01/02/toronto-a-islandia-4495/
