,label,url,date
0,"CUN y CDMX a Dubái – $12,685",http://www.vuelax.com/2018/02/07/cun-y-cdmx-a-dubai-12685/,2018-02-07
1,"CDMX a Medellín, Colombia – $5,197. ¡Opción de hostal desde 141 pesos la noche con desayuno incluido!",http://www.vuelax.com/2018/02/07/cdmx-a-medellin-colombia-5197-opcion-de-hostal-desde-141-pesos-la-noche-con-desayuno-incluido/,2018-02-07
3,"Canadá a Dinamarca – $7,205",http://www.vuelax.com/2018/02/06/canada-a-dinamarca-7205/,2018-02-06
2,"CUN y CDMX a Bogotá – $3,995",http://www.vuelax.com/2018/02/06/cun-y-cdmx-a-bogota-3995/,2018-02-06
5,"CDMX a Vancouver – $5,011 ¡Directos!",http://www.vuelax.com/2018/02/06/cdmx-a-vancouver-5011-directos/,2018-02-06
4,"CDMX a Puerto Escondido – $1,160. ¡Opción de hostal desde $120 la noche y habitaciones privadas desde $280!",http://www.vuelax.com/2018/02/06/cdmx-a-puerto-escondido-1160-opcion-de-hostal-desde-120-la-noche-y-habitaciones-privadas-desde-280/,2018-02-06
6,"CDMX a NYC – $4,738",http://www.vuelax.com/2018/02/06/cdmx-a-nyc-3738-directos/,2018-02-06
7,"¡CDMX a India + Dubái! $13,634",http://www.vuelax.com/2018/02/05/cdmx-a-india-dubai-13634/,2018-02-05
8,"India ¡3 ciudades! – $11,083",http://www.vuelax.com/2018/02/04/india-3-ciudades-11083/,2018-02-04
9,"CDMX a India + Tailandia – $12,291",http://www.vuelax.com/2018/02/04/cdmx-a-india-tailandia-12291/,2018-02-04
10,"CUN a Holanda – $9,706",http://www.vuelax.com/2018/02/03/cun-a-holanda-9706/,2018-02-03
11,"CDMX a Venecia – $12,433",http://www.vuelax.com/2018/02/03/cdmx-a-venecia-12433/,2018-02-03
13,"CDMX a Roma – $12,741",http://www.vuelax.com/2018/02/02/cdmx-a-roma-12741/,2018-02-02
12,"CDMX a París – $13,593",http://www.vuelax.com/2018/02/02/cdmx-a-paris-13593/,2018-02-02
14,"CDMX a Tel Aviv – $13,647",http://www.vuelax.com/2018/02/01/cdmx-a-tel-aviv-13647/,2018-02-01
16,"CDMX a L.A. – $3,738 ¡Vuelos directos!",http://www.vuelax.com/2018/02/01/cdmx-a-l-a-3738-vuelos-directos/,2018-02-01
15,"CDMX a India – $8,715",http://www.vuelax.com/2018/02/01/cdmx-a-india-8715/,2018-02-01
17,"L.A. a Bangkok – $7,881",http://www.vuelax.com/2018/01/31/l-a-a-bangkok-7881/,2018-01-31
20,"GDL y CDMX a Portugal – $12,447",http://www.vuelax.com/2018/01/31/gdl-y-cdmx-a-portugal-12447/,2018-01-31
19,"CUN y CDMX a Toronto – $5,408 ¡Vuelos directos!",http://www.vuelax.com/2018/01/31/cun-y-cdmx-a-toronto-5408-vuelos-directos/,2018-01-31
18,"CDMX a Madrid – $11,605 ¡Vuelos directos!",http://www.vuelax.com/2018/01/31/cdmx-a-madrid-11605-vuelos-directos/,2018-01-31
21,"Mérida a Hawái – $8,459",http://www.vuelax.com/2018/01/30/merida-a-hawaii-8459/,2018-01-30
24,"CDMX a Medellín – $5,192 ¡Vuelos directos!",http://www.vuelax.com/2018/01/30/cdmx-a-medellin-5192-vuelos-directos/,2018-01-30
23,"CDMX a Cartagena – $6,320",http://www.vuelax.com/2018/01/30/cdmx-a-cartagena-6320/,2018-01-30
22,"CDMX a Barranquilla – $6,120",http://www.vuelax.com/2018/01/30/cdmx-a-barranquilla-6120/,2018-01-30
27,"CUN y CDMX a Londres – $11,851",http://www.vuelax.com/2018/01/29/cun-y-cdmx-a-londres-11851/,2018-01-29
26,"CUN y CDMX a Bogotá  – $4,014",http://www.vuelax.com/2018/01/29/cun-y-cdmx-a-bogota-4014/,2018-01-29
28,"CDMX a Vancouver – $5,033",http://www.vuelax.com/2018/01/29/cdmx-a-vancouver-5033/,2018-01-29
29,"CDMX a Rep. Dominicana – $7,620",http://www.vuelax.com/2018/01/29/cdmx-a-rep-dominicana-7620/,2018-01-29
25,"CDMX a India – $8,638 ¡3 fechas!",http://www.vuelax.com/2018/01/29/cdmx-a-india-8638-3-fechas/,2018-01-29
30,"CUN a Holanda – $9,843",http://www.vuelax.com/2018/01/28/cun-a-holanda-9843/,2018-01-28
32,"Toronto a Reikiavik – $4,077 ¡Vuelos directos!",http://www.vuelax.com/2018/01/27/toronto-a-reikiavik-4077-vuelos-directos/,2018-01-27
31,"CDMX a India – $8,339 ¡Más fechas!",http://www.vuelax.com/2018/01/27/cdmx-a-india-8339-mas-fechas/,2018-01-27
33,"CUN a Chicago – $3,494",http://www.vuelax.com/2018/01/26/cun-a-chicago-3494/,2018-01-26
