,origin,origin_lat,origin_long,destination,destination_lat,destination_long,date,price,url,note
0,Ciudad de México,19.4326077,-99.133208,India,20.593684,78.96288,2018-01-21,8621.0,http://www.vuelax.com/2018/01/21/cdmx-a-india-8621-3-nuevas-fechas/,
1,Guadalajara,20.6596988,-103.3496092,La Paz,-16.489689,-68.11929359999999,2018-01-20,1195.0,http://www.vuelax.com/2018/01/20/gdl-a-la-paz-1195/,
2,Ciudad de México,19.4326077,-99.133208,India,20.593684,78.96288,2018-01-20,8621.0,http://www.vuelax.com/2018/01/20/cdmx-a-india-8621-4-nuevas-fechas/,
3,Guadalajara,20.6596988,-103.3496092,China,35.86166,104.195397,2018-01-19,11046.0,http://www.vuelax.com/2018/01/19/gdl-y-cdmx-a-china-11046/,
4,Ciudad de México,19.4326077,-99.133208,China,35.86166,104.195397,2018-01-19,11046.0,http://www.vuelax.com/2018/01/19/gdl-y-cdmx-a-china-11046/,
5,Cancún,21.161908,-86.8515279,Ámsterdam,52.3702157,4.895167900000001,2018-01-19,9339.0,http://www.vuelax.com/2018/01/19/cun-a-amsterdam-9339/,
6,Cancún,21.161908,-86.8515279,Bogotá,4.710988599999999,-74.072092,2018-01-19,3106.0,http://www.vuelax.com/2018/01/19/cun-a-bogota-3106/,
7,Ciudad de México,19.4326077,-99.133208,India,20.593684,78.96288,2018-01-19,8630.0,http://www.vuelax.com/2018/01/19/cdmx-a-india-8630-3-nuevas-fechas/,
8,Toronto,43.653226,-79.3831843,Reikiavik,64.12652059999999,-21.8174392,2018-01-18,4121.0,http://www.vuelax.com/2018/01/18/toronto-a-reikiavik-4121-vuelos-directos/,
9,Ciudad de México,19.4326077,-99.133208,Puerto Rico,18.220833,-66.590149,2018-01-18,4229.0,http://www.vuelax.com/2018/01/18/cdmx-a-puerto-rico-4229/,
10,Ciudad de México,19.4326077,-99.133208,NYC,40.7127753,-74.0059728,2018-01-18,4008.0,http://www.vuelax.com/2018/01/18/cdmx-a-nyc-4008-vuelos-directos/,
11,Ciudad de México,19.4326077,-99.133208,Guatemala,15.783471,-90.23075899999999,2018-01-18,3148.0,http://www.vuelax.com/2018/01/18/cdmx-a-guatemala-3148-directos/,
12,Mérida,20.9673702,-89.5925857,La Habana,23.1135925,-82.3665956,2018-01-17,2661.0,http://www.vuelax.com/2018/01/17/merida-y-cun-a-la-habana-2661/,
13,Cancún,21.161908,-86.8515279,La Habana,23.1135925,-82.3665956,2018-01-17,2661.0,http://www.vuelax.com/2018/01/17/merida-y-cun-a-la-habana-2661/,
14,Ciudad de México,19.4326077,-99.133208,Puerto Escondido,15.8719795,-97.0767365,2018-01-17,1157.0,http://www.vuelax.com/2018/01/17/cdmx-a-puerto-escondido-1157-2/,
15,Ciudad de México,19.4326077,-99.133208,Bangalore,12.9715987,77.5945627,2018-01-17,8506.0,http://www.vuelax.com/2018/01/17/cdmx-a-bangalore-8506/,
16,Guadalajara,20.6596988,-103.3496092,Shanghai,31.2303904,121.4737021,2018-01-16,11125.0,http://www.vuelax.com/2018/01/16/gdl-y-cdmx-a-shanghai-11125/,
17,Ciudad de México,19.4326077,-99.133208,Shanghai,31.2303904,121.4737021,2018-01-16,11125.0,http://www.vuelax.com/2018/01/16/gdl-y-cdmx-a-shanghai-11125/,
18,Cancún,21.161908,-86.8515279,Manchester,53.4807593,-2.2426305,2018-01-16,9866.0,http://www.vuelax.com/2018/01/16/cancun-a-manchester-9866/,
19,Ciudad de México,19.4326077,-99.133208,Lima,-12.0463731,-77.042754,2018-01-16,4991.0,http://www.vuelax.com/2018/01/16/cdmx-a-lima-4991/,
20,Ciudad de México,19.4326077,-99.133208,India,20.593684,78.96288,2018-01-15,8867.0,http://www.vuelax.com/2018/01/15/cdmx-a-india-8867/,
21,Ciudad de México,19.4326077,-99.133208,India,20.593684,78.96288,2018-01-15,8485.0,http://www.vuelax.com/2018/01/15/cdmx-a-india-8485/,
