,label,url,date
0,"¡Todo México a Madrid – $15,628!",http://www.vuelax.com/2018/02/28/mex-madrid/,2018-02-28
1,"CDMX a Puerto Rico – $5,454 ¡Sem. Santa!",http://www.vuelax.com/2018/02/28/puerto-rico/,2018-02-28
2,"¡CDMX a Calgary, Canadá – $5,488!",http://www.vuelax.com/2018/02/17/calgary/,2018-02-17
0,"L.A. a Bangkok – $7,849",http://www.vuelax.com/2018/01/22/l-a-a-bangkok-7849/,2018-01-22
1,"CUN a La Habana – $2,642 ¡Vuelos directos!",http://www.vuelax.com/2018/01/22/cun-y-cdmx-a-la-habana-2642/,2018-01-22
2,"CDMX a India – $8,621 ¡3 nuevas fechas!",http://www.vuelax.com/2018/01/21/cdmx-a-india-8621-3-nuevas-fechas/,2018-01-21
3,"GDL a La Paz – $1,195",http://www.vuelax.com/2018/01/20/gdl-a-la-paz-1195/,2018-01-20
4,"CDMX a India – $8,621 ¡4 nuevas fechas!",http://www.vuelax.com/2018/01/20/cdmx-a-india-8621-4-nuevas-fechas/,2018-01-20
6,"GDL y CDMX a China – $11,046",http://www.vuelax.com/2018/01/19/gdl-y-cdmx-a-china-11046/,2018-01-19
8,"CUN a Ámsterdam – $9,339",http://www.vuelax.com/2018/01/19/cun-a-amsterdam-9339/,2018-01-19
5,"CUN a Bogotá – $3,106",http://www.vuelax.com/2018/01/19/cun-a-bogota-3106/,2018-01-19
7,"CDMX a India – $8,630 ¡3 nuevas fechas!",http://www.vuelax.com/2018/01/19/cdmx-a-india-8630-3-nuevas-fechas/,2018-01-19
10,"Toronto a Reikiavik – $4,121 ¡Vuelos directos!",http://www.vuelax.com/2018/01/18/toronto-a-reikiavik-4121-vuelos-directos/,2018-01-18
9,"CDMX a Puerto Rico – $4,229",http://www.vuelax.com/2018/01/18/cdmx-a-puerto-rico-4229/,2018-01-18
11,"CDMX a NYC – $4,008 ¡Vuelos directos!",http://www.vuelax.com/2018/01/18/cdmx-a-nyc-4008-vuelos-directos/,2018-01-18
